fbref_team,cfdm_team
1860 Munich,Munich 1860
Ajaccio,Ajaccio
Alavés,Alaves
Albacete,Albacete
Alemannia Aachen,Aachen
Almería,Almeria
Ancona,Ancona
Angers,Angers
Arles-Avignon,Arles
Arminia,Bielefeld
Arsenal,Arsenal
Ascoli,Ascoli
Aston Villa,Aston Villa
Atalanta,Atalanta
Athletic Club,Ath Bilbao
Atlético Madrid,Ath Madrid
Augsburg,Augsburg
Auxerre,Auxerre
Barcelona,Barcelona
Bari,Bari
Bastia,Bastia
Bayer Leverkusen,Leverkusen
Bayern Munich,Bayern Munich
Benevento,Benevento
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Bochum,Bochum
Bologna,Bologna
Bolton Wanderers,Bolton
Bordeaux,Bordeaux
Boulogne,Boulogne
Bournemouth,Bournemouth
Bradford City,Bradford
Brentford,Brentford
Brescia,Brescia
Brest,Brest
Brighton & Hove Albion,Brighton
Burnley,Burnley
Caen,Caen
Cagliari,Cagliari
Cardiff City,Cardiff
Carpi,Carpi
Catania,Catania
Celta Vigo,Celta
Cesena,Cesena
Charlton Athletic,Charlton
Chelsea,Chelsea
Chievo,Chievo
Clermont Foot,Clermont
Como,Como
Coventry City,Coventry
Cremonese,Cremonese
Crotone,Crotone
Crystal Palace,Crystal Palace
Cádiz,Cadiz
Córdoba,Cordoba
Darmstadt 98,Darmstadt
Deportivo La Coruña,La Coruna
Derby County,Derby
Dijon,Dijon
Dortmund,Dortmund
Düsseldorf,Fortuna Dusseldorf
Eibar,Eibar
Eintracht Braunschweig,Braunschweig
Eintracht Frankfurt,Ein Frankfurt
Elche,Elche
Empoli,Empoli
Energie Cottbus,Cottbus
Espanyol,Espanol
Everton,Everton
Evian,Evian Thonon Gaillard
Fiorentina,Fiorentina
Freiburg,Freiburg
Frosinone,Frosinone
Fulham,Fulham
Gazélec Ajaccio,Ajaccio GFCO
Genoa,Genoa
Getafe,Getafe
Girona,Girona
Granada,Granada
Grenoble Foot,Grenoble
Greuther Fürth,Greuther Furth
Guingamp,Guingamp
Hamburger SV,Hamburg
Hannover 96,Hannover
Hansa Rostock,Hansa Rostock
Hellas Verona,Verona
Hertha BSC,Hertha
Hoffenheim,Hoffenheim
Huddersfield Town,Huddersfield
Huesca,Huesca
Hull City,Hull
Hércules,Hercules
Ingolstadt 04,Ingolstadt
Internazionale,Inter
Ipswich Town,Ipswich
Istres,Istres
Juventus,Juventus
Kaiserslautern,Kaiserslautern
Karlsruher,Karlsruhe
Köln,FC Koln
Las Palmas,Las Palmas
Lazio,Lazio
Le Havre,Le Havre
Le Mans,Le Mans
Lecce,Lecce
Leeds United,Leeds
Leganés,Leganes
Leicester City,Leicester
Lens,Lens
Levante,Levante
Lille,Lille
Liverpool,Liverpool
Livorno,Livorno
Lorient,Lorient
Luton Town,Luton
Lyon,Lyon
MSV Duisburg,Duisburg
Mainz 05,Mainz
Mallorca,Mallorca
Manchester City,Man City
Manchester United,Man United
Marseille,Marseille
Messina,Messina
Metz,Metz
Middlesbrough,Middlesbrough
Milan,Milan
Modena,Modena
Monaco,Monaco
Montpellier,Montpellier
Monza,Monza
Málaga,Malaga
Mönchengladbach,MGladbach
Nancy,Nancy
Nantes,Nantes
Napoli,Napoli
Newcastle United,Newcastle
Nice,Nice
Norwich City,Norwich
Nottingham Forest,Nottm Forest
Novara,Novara
Numancia,Numancia
Nürnberg,Nurnberg
Osasuna,Osasuna
Oviedo,Oviedo
Paderborn 07,Paderborn
Palermo,Palermo
Paris Saint-Germain,Paris SG
Parma,Parma
Perugia,Perugia
Pescara,Pescara
Piacenza,Piacenza
Portsmouth,Portsmouth
Queens Park Rangers,QPR
RB Leipzig,RB Leipzig
Racing Santander,Santander
Rayo Vallecano,Vallecano
Reading,Reading
Real Betis,Betis
Real Madrid,Real Madrid
Real Murcia,Murcia
Real Sociedad,Sociedad
Recreativo,Recreativo
Reggina,Reggina
Reims,Reims
Rennes,Rennes
Roma,Roma
SPAL,Spal
Saint-Étienne,St Etienne
Salernitana,Salernitana
Sampdoria,Sampdoria
Sassuolo,Sassuolo
Schalke 04,Schalke 04
Sedan,Sedan
Sevilla,Sevilla
Sheffield United,Sheffield United
Siena,Siena
Sochaux,Sochaux
Southampton,Southampton
Spezia,Spezia
Sporting Gijón,Sp Gijon
St. Pauli,St Pauli
Stoke City,Stoke
Strasbourg,Strasbourg
Stuttgart,Stuttgart
Sunderland,Sunderland
Swansea City,Swansea
Tenerife,Tenerife
Torino,Torino
Tottenham Hotspur,Tottenham
Toulouse,Toulouse
Treviso,Treviso
Troyes,Troyes
Udinese,Udinese
Unterhaching,Unterhaching
Valencia,Valencia
Valenciennes,Valenciennes
Valladolid,Valladolid
Venezia,Venezia
Vicenza,Vicenza
Villarreal,Villarreal
Watford,Watford
Werder Bremen,Werder Bremen
West Bromwich Albion,West Brom
West Ham United,West Ham
Wigan Athletic,Wigan
Wolfsburg,Wolfsburg
Wolverhampton Wanderers,Wolves
Xerez,Xerez
Zaragoza,Zaragoza
